No.,Date,Time,Type,Lat,Long,Vessel,Vessel Status,Boarding,Damage to property,Damage to human life,Weapon,Port/ Out Side Port Limits,Country,Location,Summary
27,25.01.2021,03:25,Robbery,01.1658,104.1570,Bulk ,Underway,Yes,No,No,No,Open Sea,Singapore Straits,South East Asia,Five robbers were able to board a vessel in the Eastbound lane of the Traffic Separation Scheme. Nothing stolen
28,28.01.2021,18:21,Piracy Attack,01.1695,104.1892,Cargo,Underway,Yes,No,No,Yes,Open Sea,Singapore Straits,South East Asia,"Three unauthorised persons armed with knives were sighted in the engine room around 5.8nm northwest of Tanjung Pergam, Pulau Bintan, Indonesia. Stolen nothing"
29,28.01.2021,22:32,Piracy Attack,01.1615,104.1672,Bulk,Underway,Yes,No,No,Yes,Open Sea,Singapore Straits,South East Asia,"Ten unauthorised persons armed with knives were sighted in the engine room around 6nm northwest of Tanjung Pergam, Pulau Bintan, Indonesia. Stolen nothing"
30,29.01.2021,22:00,General Alert,06.17,003.12,,,,,,,Port,Nigeria,West Africa,"The port of Lagos, no longer has robust security patrols in the Secure Anchorage Area."
31,30.01.2021,04:24,Piracy Attack,02.55,001.5606,Cargo,Drifiting,Yes,No,No,No,Open Sea,Nigeria,West Africa,Vessel has been boarded whilst drifting approximately 200nm South East of Accra. The crew have managed to muster in the Citade.
32,31.01.2021,00:45,Military,24.19,066.58,,,,,,,Open Sea,Pakistan,Indian Ocean,"Surface, anti-aircraft and depth charge live firing practice "
33,31.01.2021,01:00,Military,25.12,064.30,,,,,,,Open Sea,Pakistan,Indian Ocean,A Firing practice with live ammunition
34,31.01.2021,01:00,Military,25.11,066.45,,,,,,,Open Sea,Pakistan,Indian Ocean,A Firing practice with live ammunition
35,29.01.2021,08:49,Robbery,22.55,070.10,Tanker,Anchored,No,Yes,No,No,Port,India,Indian Ocean,Three robbers boarding the vessel and escaping empty handed.
36,30.01.2021,03:10,Robbery,06.0557,125.0942,Container,Berthed,Yes,No,No,No,Port,Philippines,South East Asia,Two robbers were spotted onboard the vessel. Two fire nozzles and fire caps were stolen.
37,30.01.2021,21:35,Piracy Attack,03.5620,098.4560,LNG Tanker,,,,,,,,,
38,01.02.2021,11:20,Robbery,05.38,000.01,Bulk ,Anchored,No,No,No,No,Port,Ghana,West Africa,Eight plugs of sounding pipes had been stolen by robbers who had been able to board the vessel unnoticed at Tema Anchorage 
39,02.02.2021,03:00,Military,21.06,038.5850,,,,,,,Open Sea,Red Sea,Indian Ocean,A Live Firing Exercises
40,03.02.2021,09:16,General Alert,03.00,005.30,,,,,,,Open Sea,Gulf of Guinea,West Africa,"There is potential of an increased threat of piracy activity in the immediate future, in areas covers from Togo to Gabon."
41,03.02.2021,09:00,Suspicious Approach,03.3160,006.3170,Container,Underway,No,No,No,No,Open Sea,Nigeria,West Africa,One speedboat with up to seven persons onboard came to within 1nm of the container vessel before aborting the approach.
42,04.02.2021,,Military,17.05,056.5950,,,,,,,Open Sea,Arabian Sea,Indian Ocean,Artillery Firing Exercises
43,02.02.2021,15:30,General Alert,11.54,045.09,,,,,,,Open Sea,Gulf of Aden,Indian Ocean,"A concentration of ten small craft in the vicinity of Point Alpha, ITRC."
44,08.02.2021,16:58,Piracy Attack,-00.41,006.07,Tanker,Underway,No,No,No,Yes,Open Sea,Gabon,West Africa,One fast craft with six pirates onboard approached and opened fire towards the vessel
45,04.02.2021,20:45,Robbery,-12.0106,-077.1340,Vehicle C.,Anchored,Yes,No,No,No,Port,Peru,Americas,"Robbers were able to board the vessel, steal two mooring ropes from the fore peak store and escape unnoticed at Callao Anchorage."
46,06.02.2021,23:00,Piracy Attack,02.00,008.15,Tanker,Underway,Yes,No,No,?,Open Sea,Equatorial Guinea,West Africa,Pirates have managed to board the Tanker approximately 91nm west of Bata
47,08.02.2021,05:20,Suspicious Approach,00.5948,007.3224,Tanker,,No,No,No,No,Open Sea,Gabon,West Africa,A small craft was seen being launched from a mother vessel which then approached and came alongside the vessel approximately 80nm west southwest of Port Gentil. 
48,08.02.2021,06:20,Hijacking,00.5143,007.2020,Fishing,,Yes,No,No,,Open Sea,Sao Tome,West Africa,The hijacked fishing vessel approximately 81nm Southeast of Ana Chaves is being used as a mothership in the area of other incidents reported on 8th February 2020. Nine crew were kidnapped and later released.
49,09.02.2021,06:00,Robbery,01.0537,103.3421,Barge,Towing,Yes,No,No,No,Open Sea,Singapore Straits,South East Asia,Two robbers were spotted boarding the barge from two small boats. Some shackles stolen.
50,09.02.2021,00:50,Suspicious Approach,01.1617,104.1472,Tanker,Underway,No,No,No,No,Open Sea,Singapore Straits,,"While passing a group of small fishing vessels, one fishing vessel started to approach the tanker from the starboard quarter and came to within 0.1nm."
51,09.02.2021,00:50,Robbery,-04.4320,011.4520,Container,Anchored,Yes,No,No,Yes,Port,Congo,West Africa,"Three robbers, one armed with a knife boarded and stole one blue line polypropylene at Pointe Noire Anchorage Area"
52,09.02.2021,13:03,Piracy Attack,01.35,005.07,Tanker,Underway,Yes,No,No,,Open Sea,Sao Tome,West Africa,A vessel has been boarded whilst underway approximately 113nm Northwest of Neves. The crew have retreated to the citadel.
53,09.02.2021,19:30,General Alert,012.42,043.26,,,,,,,Open Sea,Yemen,Indian Ocean,The Yemeni Coastguard has increased patrols and VHF hailings with merchant vessels transiting the Bab El Mandeb vicinity
54,10.02.2021,05:20,General Alert,-00.45,008.10,,,,,,,Open Sea,Gabon,West Africa,The IMB has released the information which has come from the Gabon Authorities
55,09.02.2021,20:28,General Alert,26.39,056.35,,,,,,,Open Sea,Persian Gulf,Indian Ocean,"All vessels are strongly advised to remain within international waters, and where practicable should avoid transiting through Iranian TTW, including the areas claimed by Iran around the Islands of Abu Musa. Greater Tnub and Lesser Tnub."
56,11.02.2021,08:58,General Alert,25.11,066.45,,,,,,,Open Sea,Pakistan,Indian Ocean,An Air defence exercise.
57,12.02.2021,20:45,Robbery,-12.0062,-077.1186,Vehicle C.,Anchored,Yes,No,No,No,Port,Peru,Americas,"Robbers were able to board the vessel, steal two mooring ropes from the fore peak store and escape unnoticed at Callao Anchorage."
58,13.02.2021,05:20,Robbery,-06.05,106.53,Container,Berthed,Yes,Yes,No,No,Port,Indonesia,South East Asia,The duty crew noticed that the padlock to the engine room was broken and spare parts for the auxiliary engine were missing at the Port of Jakarta.
59,16.02.2021,08:30,General Alert,24.4840,066.5737,,,,,,,Open Sea,Red Sea,Indian Ocean,A Live Firing Exercises
60,16.02.2021,17:45,General Alert,012.20,043.30,,,,,,,Open Sea,Gulf of Aden,Indian Ocean,Military Operation (Focused Operation) will be conducted by Combined Task Force (CTF) 151
61,20.02.2021,13:22,General Alert,24.25,057.40,,,,,,,Open Sea,Gulf of Oman,Indian Ocean,A Naval exercise with surface to air gunnery firing 
62,21.02.2021,12:20,Robbery,01.0949,103.49,Barge,Towing,Yes,No,No,No,Open Sea,Singapore Straits,South East Asia,"Three robbers were onboard the barge, passing stolen items to two further perpetrators in the small craft. The patrol vessel intervened which resulted in the five perpetrators being arrested, the two small craft being seized and 150kg of steel wire being recovered. "
63,13.02.2021,04:35,Robbery,11.0135,-074.4723,Container,Under Pilotage,Yes,No,No,No,Port,Columbia,Americas,Five robbers were spotted onboard in the Magdalena River Passage. The robbers made their escape with stolen items of the ship's property after seeing the alerted crew.
64,23.02.2021,11:00,General Alert,26.44,051.48,,,,,,,Open Sea,Persian Gulf,Indian Ocean,"US military ships and aircraft will be conducting a live firing exercise, including high and low flying,"
65,23.02.2021,08:00,General Alert,04.3510,007.0490,Passenger Boat,Underway,,,,,,Nigeria,West Africa,"A passenger boat travelling from Bille Jetty, Port Harcourt, to Bonny Island and carrying eleven passengers, did not arrive at its intended destination"
66,25.02.2021,10:00,General Alert,02.40,001.31,,,,,,,Open Sea,Gulf of Guinea,West Africa,The threat of piracy has increased deep offshore in areas cover from Guinea up to the Cameroon border.
67,24.02.2021,21:30,General Alert,03.49,006.30,Offshore crew transfer vessel,Underway,No,No,Yes,Yes,Open Sea,Nigeria,West Africa,A false alarm. 
68,25.02.2021,20:40,General Alert,24.23,058.33,Vehicle C.,,,Yes,No,,Open Sea,Oman,Indian Ocean,An explosion occurred on the vehicle carrier approximately 44nm North of Muscat.
69,26.02.2021,03:00,Robbery,-08.4501,013.1701,Supply,Anchored,Yes,No,No,No,Port,Angola,West Africa,"The robbers managed to board an anchored vessel at Luanda port. One fire extinguisher, one mooring rope and various other items of ships equipment were stolen."
70,28.02.2021,09:45,General Alert,24.19,066.58,,,,,,,Open Sea,Pakistan,Indian Ocean,A Live Firing Practice
71,28.02.2021,09:50,General Alert,25.11,066.45,,,,,,,Open Sea,Pakistan,Indian Ocean,A Live Firing Practice
72,03.03.2021,10:47,Suspicious Approach,04.3018,119.3477,Bulk,Underway,No,No,No,No,Open Sea,Philippines,South East Asia,"A speedboat with three persons onboard approached the bulk carrier and attempted to board. Approximately 11nm Southeast of Sibutu Island, Tawi-Tawi."
73,06.03.2021,09:09,General Alert,25.11,066.45,,,,,,,Open Sea,Pakistan,Indian Ocean,A Live Firing Practice with live ammunition.
74,06.03.2021,,Robbery,04.0030,009.3740,Supply,Anchored,Yes,No,No,No,Port,Cameroon,West Africa,The robbers managed to board the vessel and steal numerous firefighting equipment without being spotted at Douala Anchorage.
75,06.03.2021,18:30,Robbery,-02.20,-079.58,Container,Under Pilotage,Yes,Yes,No,Yes,Port,Ecuador,Americas,"Several armed robbers in two boats approached and boarded the vessel approximately 10nm south of Guayaquil. The robbers took a crew member hostage and stole cargo from the containers. Before making their escape, the robbers released the crew member. It was confirmed that nine containers had been opened and cargo damaged."
76,08.03.2021,05:55,Suspicious Approach,14.4309,053.3130,,Underway,No,No,No,No,Open Sea,Yemen,Indian Ocean,The vessel was approached by four small craft with two people onboard each craft approximately 95nm southeast of Nishtun.
77,08.03.2021,11:45,General Alert,21.06,038.5850,,,,,,,Open Sea,Pakistan,Indian Ocean,Live Firing Exercises
78,10.03.2021,,Robbery,-08.4510,013.1710,Container,Anchored,Yes,No,No,No,Port,Angola,West Africa,The robbers managed to board the vessel and steal two mooring lines without being spotted at Luanda Anchorage.
79,10.03.2021,06:11,General Alert,,,Container,Underway,No,Yes,No,No,Open Sea,Syria,Europe,The Iranian-flagged ship SHAHR E KORD was damaged in the Eastern Mediterranean. There was a fire inside the vessel but the reason is unclear.
80,10.03.2021,21:10,Robbery,-11.5957,-077.1410,Bulk,Anchored,Yes,No,No,No,Port,Peru,Americas,"Two robbers armed with knives, were spotted by duty crew on the forward mooring station at Callao Anchorage. The perpetrators escaping with stolen items of ship's stores."
81,11.03.2021,01:20,Robbery,04.4410,-001.3560,Drill,Anchored,Yes,No,No,No,Port,Ghana,West Africa,Four robbers managed to board the vessel before being spotted by the duty crew. No items were reported stolen. 
82,11.03.2021,09:25,General Alert,25.11,066.45,,,,,,,Open Sea,Pakistan,Indian Ocean,A Live Firing Practice with live ammunition.
83,11.03.2021,15:20,Piracy Attack,02.47,002.35,Tanker,Underway,Yes,No,No,No,Open Sea,Nigeria,West Africa,A number of pirates have boarded the vessel approximately 227nm south-southwest of Lagos. fifteen crew members have been kidnapped and six crew members remain on board. All kidnapped crew members have been released. 
84,14.03.2021,07:31,Piracy Attack,02.58,002.53,Supply,,Yes,No,No,No,Open Sea,Nigeria,West Africa,The vessel was boarded by the pirates who have since left the scene approximately 208nm south of Lagos
85,15.03.2021,15:05,General Alert,03.20,002.54,,,,,,,Open Sea,Gulf of Guinea,West Africa,The MDAT-GoG have issued a notice on behalf of the Multinational Maritime Coordination Centre Area E that covers from Togo to the Cameroon border. Due to the two attacks that have occurred between 11th - 14th March
86,24.02.2021,,General Alert,-02.1343,050.0206,Lifeboat,,,,,,Open Sea,Somalia,Indian Ocean,"An object described as an upturned, enclosed lifeboat, has been sighted approximately 380nm Southeast of Mogadishu, Somalia. An MV has reported that the lifeboat has been checked and no persons were found onboard. "
87,16.03.2021,17:30,Robbery,-12.0110,-077.1050,Bulk,Anchored,Yes,No,No,No,Port,Peru,Americas,"The robbers managed to board the vessel, break into the forecastle store and steal ship's properties without being spotted at Callao Anchorage."
88,16.03.2021,10:00,Robbery,-12.0092,-077.1199,Bulk,Anchored,Yes,No,No,Yes,Port,Peru,Americas,"A duty crew member was threatened and restrained by eight robbers, armed with knives  at Callao Anchorage. The perpetrators were able to steal items of ship's property and then released the crew member before making their escape."
89,21.03.2021,09:00,General Alert,26.20,056.01,Tug,,No,No,No,No,Open Sea,Persian Gulf,Indian Ocean,"In fact the Tug “T4” of Iraqi Owner, on its way from Basrah to Dubai encountered heavy weather where the Crew abandoned the Tug and were recovered safely. The Tug was left drifting and one of Dhow boat recovered the Tug and has been taken to Bushehr / Iranian Port. But due to the strong wind, the tow apart and the Tug drifted and grounded 7 n. miles North of the Port and still grounded. The Iranian Port Authorities are still waiting for the Owner to recover his Tug."
90,15.03.2021,,Robbery,20.5490,107.1670,Bulk,Moored,Yes,Yes,No,No,Port,Vietnam,South East Asia,"The robbers managed to board the vessel and break into two crew cabins, stealing cash at Campha Port. "
91,15.03.2021,,General Alert,04.20,007.00,Barge,Towing,Yes,No,Yes,?,Open Sea,Nigeria,West Africa,"A number of perpetrators attacked the barge and tugboat whilst workers were being transported from Warri to the Bonga oil field, via Bonny Island. Six persons are reported as being kidnapped."
92,22.03.2021,09:00,Suspicious Approach,26.20,056.01,,,No,No,No,No,Open Sea,Oman,Indian Ocean,"The vessel was approached by 1 small, grey boat with three masked persons onboard approximately 13nm Northwest of Bukha."
93,24.03.2021,08:00,General Alert,-10.46,040.28,,,,Yes,Yes,Yes,Port,Mozamique,Indian Ocean,"Several groups of attackers identified as ASWJ Islamist Insurgents, launched coordinated attacks on Palma from at least two different directions. Insurgents reportedly used heavy machine guns weapons and FDS are reported to have fled. Some civilians and soldiers escaped by boat. Many people fled into the bush. "
94,24.03.2021,23:41,General Alert,16.12,062.44,Container,,No,Yes,No,?,Open Sea,Arabian Sea,Indian Ocean,It has been reported that an Israeli container vessel was reportedly damaged in an Iranian missile attack while sailing through the Arabian sea towards India. The vessel is reported to have continued inbound Mundra with no casualties 
95,25.03.2021,03:30,Robbery,01.17,104.18,Bulk,Underway,Yes,No,No,No,Open Sea,Singapore Straits,South East Asia,Five robbers had been sighted in the engine room. Stolen nothing
96,25.03.2021,08:00,General Alert,25.12,064.30,,,,,,,Open Sea,Pakistan ,Indian Ocean,A Live Firing Practice
97,28.03.2021,02:30,Robbery,06.20,-010.52,Bulk,Anchored,No,No,No,No,Port,Liberia,West Africa,"The bulk carrier was approached by a wooden motorboat with two robbers on board. The robbers were spotted trying to board the vessel by port security, the alarm was then raised, and the robbers jumped into the water. No items were reported stolen"
98,28.03.2021,22:45,Robbery,-08.45,013.16,Container,Anchored,Yes,No,No,No,Port,Angola,West Africa,The robbers managed to board the vessel and steal several items of the ship's properties at Luanda Anchorage
99,30.03.2021,01:50,Robbery,-06.02,106.48,Bulk,Anchored,Yes,No,No,No,Port,Indonesia,South East Asia,Two robbers carrying sacks were spotted on deck by duty crew. Items from the engine room central store had been stolen.
100,30.03.2021,11:45,Robbery,01.1270,103.3110,Barge,Towing,No,No,No,No,Open Sea,Singapore Straits,South East Asia,"Two boats came alongside the barge, stole a buoy that was attached and then escaped heading towards Tanjung Pelepas."
101,30.03.2021,20:00,General Alert,24.19,066.58,,,,,,,Open Sea,Pakistan ,Indian Ocean,An Anti-Aircraft and Depth charge Live Firing Practice
102,01.04.2021,22:45,Suspicious Approach,05.1052,004.3050,Supply,Underway,No,No,No,No,Open Sea,Nigeria,West Africa,The suspicious vessel managed to approach to a distance of 0.5nm. Vessel and crew are reported as safe. 
103,02.04.2021,01:50,Robbery,09.1438,-013.4924,Bulk,Anchored,Yes,No,No,Yes,Port,Guinea,West Africa,"Four robbers armed with knives, boarded the bulk carrier and were able to steal money and items of the crew's personal effects at Conakry Anchorage"
104,03.04.2021,08:08,General Alert,25.11,066.45,,,,,,,Open Sea,Pakistan ,Indian Ocean,A Live-firing by Air Defence.
105,03.04.2021,08:08,General Alert,29.32,048.2040,,,,,,,Open Sea,Kuweit,Indian Ocean,A Firing practice with live ammunition
106,24.03.2021,00:45,Robbery,10.1920,-075.3140,Tanker,Anchored,Yes,No,No,Yes,Port,Columbia,Americas,"The duty crew spotted three robbers armed with knives at Alpha Anchorage, Cartagena.. After alarm  was raised the robbers then made their escape by lowering the mooring ropes and using a blue hulled motorboat. Several items of the ship's properties were stolen."
107,06.04.2021,07:30,Piracy Attack,15.09,041.01,,,,,,,Open Sea,Red Sea,Indian Ocean,"The UKMTO are aware of unconfirmed reports that a vessel may have been attacked in the Red Sea, approximately 28nm North of Tiyo, Eritrea. "
108,07.04.2021,17:45,Suspicious Approach,14.2818,054.16,?,Underway,No,No,No,No,Open Sea,Gulf of Aden,Indian Ocean,"The team had noticed 2 skiffs on the radar moving rapidly from both the port and starboard at an estimated speed of 30 knots. Another vessel “mothership” heading at an estimated speed of 20Kts had been detected, heading from the starboard away. "
109,08.04.2021,07:40,General Alert,25.1088,066.4811,,,,,,,,,,A Live Firing Practice
110,08.04.2021,01:47,Robbery,01.1650,104.1510,Bulk,Underway,Yes,No,Yes,Yes,Open Sea,Singapore Straits,South East Asia,"Four robbers armed with knives, boarded the bulk carrier and entered the engine room. A duty crew member spotted the robbers, who then struck the crew member on the head and pushed them away in order to escape. Nothing were stolen."
111,08.04.2021,05:00,Robbery,01.1613,104.1556,Tanker,Underway,Yes,No,No,No,Open Sea,Singapore Straits,South East Asia,Two robbers were spotted boarding the vessel. Nothing were stolen.
112,11.04.2021,01:15,Robbery,01.1632,104.1475,Bulk,Underway,Yes,No,No,No,Open Sea,Singapore Straits,South East Asia,"Four robbers were discovered in the engine room and upon being sighted, escaped by jumping overboard. Some engine parts were stolen."
113,12.04.2021,16:33,General Alert,25.2570,039.12,,,,,,,,Red Sea,Indian Ocean,A Firing practice with live ammunition
114,13.04.2021,07:30,Piracy Attack,25.1139,056.4122,,,,,,,,Gulf of Oman,Indian Ocean,A vessel owned by PCC an Israeli owned company was attacked near the shores of the Fujairah emirate in the United Arab Emirates
115,12.04.2021,03:48,Robbery,05.48,118.04,Tanker,Alongside,Yes,Yes,No,No,Port,Malaysia,South East Asia,"The padlock securing the forward bosun store had been broken by one robber, but the robber had been spotted before being able to enter. The search also revealed that the forward anchor bell had been stolen. "
116,13.04.2021,19:40,Robbery,-12.00,-077.12,Tanker,Anchored,Yes,No,Yes,Yes,Port,Peru,Americas,Three robbers armed with knives managed to board the vessel and assaulted a duty crew member who was on routine rounds  at Callao Anchorage.  The robbers escaped having stolen the ship's properties. 
117,16.04.2021,07:14,General Alert,24.4840,066.5737,,,,,,,Open Sea,Pakistan,Indian Ocean,A Firing practice with live ammunition
118,18.04.2021,17:30,General Alert,16.42,053.55,,,,,,,Open Sea,Arabian Sea,Indian Ocean,A Live Firing Exercises
119,17.04.2021,01:40,Robbery,01.1603,104.1208,Tanker,Underway,Yes,No,No,No,Open Sea,Singapore Straits,South East Asia,A person attempting to gain access to the steering gear room from the poop deck was discovered by duty engineer. Upon hearing the alarm the perpetrator managed to escape empty-handed. 
120,20.04.2021,17:00,General Alert,03.44,004.44,,,,,,,Open Sea,Gulf of Guinea,West Africa,"The MDAT - GoG has released a notice stating that they believe the threat of piracy has increased in area Zone E, which is from Togo to Cameroon."
121,17.04.2021,05:00,Robbery,01.1640,104.1430,Bulk,Underway,Yes,No,Yes,No,Open Sea,Singapore Straits,South East Asia,Four robbers boarded the vessel and assaulted the fourth engineer causing an injury. Some engine spares were stolen.
122,20.04.2021,18:58,Suspicious Approach,03.0104,003.1656,Container,Underway,No,No,No,No,Open Sea,Nigeria,West Africa,"A vessel was approached by a single skiff approximately 200nm south of Lagos, Nigeria. The skiff closed to within 0.5nm of the vessel but was unable to carry out a boarding."
123,21.04.2021,09:39,General Alert,03.41,003.33,,,,,,,Open Sea,Gulf of Guinea,West Africa,"Naval Assets reported that in the area 165nm South of Lagos  one small boat with eight persons and ladders onboard, is suspected of being involved in piracy operations."
124,21.04.2021,12:05,Suspicious Approach,01.1034,004.5740,Tanker,Underway,No,No,No,No,Open Sea,Gulf of Guinea,West Africa,"A vessel was approached by a small, suspicious vessel approximately 202nm Southwest of Brass Port. "
125,22.04.2021,07:03,General Alert,24.4630,039.00,,,,,,,Open Sea,Red Sea,Indian Ocean,A Firing practice with live ammunition
126,23.04.2021,16:58,General Alert,25.0588,062.2227,,,,,,,Open Sea,Pakistan,Indian Ocean,A Firing practice with live ammunition
127,24.04.2021,10:17,Piracy Attack,01.29,004.38,Container,,Yes,No,No,No,Open Sea,Sao Tome,West Africa,"The pirates has boarded vessel 132nm Northwest of Santa Catarina. All crew are safe, and this incident is over. "
128,24.04.2021,Am,General Alert,,,Tanker,,No,,Yes,,Open Sea,Syria,Europe,"An explosion had occurred on a tanker off the coast of Baniyas, causing the death of at least 3 crew.  The report was largely framed as a suspected ‘drone attack’"
129,27.04.2021,06:03,General Alert,24.0878,38.0691,,,,,,,Open Sea,Red Sea,Indian Ocean,An incident approximately 2nm’s from Yanbu. Investigations into the incident are now ongoing
130,27.04.2021,09:55,General Alert,05.00,005.00,,,,,,,Open Sea,Gulf of Guinea,West Africa,The MDAT-GoG has released a notice that they believe there is an increased threat of piracy in the immediate future in the area
131,28.04.2021,07:23,General Alert,24.50,066.30,,,,,,,Open Sea,Pakistan,Indian Ocean,"A Live Firing Practice including Missiles, Gunnery, Depth Charge and Torpedo"
132,29.04.2021,02:00,Robbery,-08.41,013.17,Cargo,Anchored,Yes,No,No,No,Port,Angola,West Africa,The robbers managed to board the vessel. Nothing was reported stolen.
133,29.04.2021,14:50,General Alert,24.19,066.58,,,,,,,Open Sea,Pakistan,Indian Ocean,"A Surface, Anti-Aircraft and Depth Charge Live Firing Practice"
134,28.04.2021,07:23,General Alert,25.12,064.30,,,,,,,Open Sea,Pakistan,Indian Ocean,A Live Firing Practice 
135,30.04.2021,16:00,General Alert,25.12,064.30,,,,,,,Open Sea,Pakistan,Indian Ocean,A Live Firing Practice 
136,03.05.2021,13:58,Suspicious Approach,15.04,041.56,,,No,No,No,No,Open Sea,Yemen,Indian Ocean,"A suspicious approach occurred on a vessel approximately 60nm west of Al Hudaydah, Yemen. The vessel was approached by two small craft with six people on board and came to within 15 metres of the vessel. All crew are reported as safe."
137,02.05.2021,03:30,Robbery,06.2033,-010.48,Container,Alongside,Yes,No,No,No,Port,Liberia,West Africa,The duty crew discovered one intruder jumping overboard. Some items of ships properties were stolen. 
138,20.04.2021,02:55,Robbery,14.33,120.56,Barge,Anchored,Yes,No,No,No,Port,Philippines,South East Asia,"Five robbers were spotted transferring timber from the barge to a motor banca. Some cargo items had been stolen:  oil, items from within a container, maritime gas oil and twenty-seven pieces of timber. One of the perpetrators was arrested."
